stock_symbol,time_stamp,open,recent_high,recent_low,close,volume
BRK.A,2019-06-18,306914.8700,309800.0000,306410.0100,308884.6200,278
BRK.A,2019-06-17,308206.0000,308206.0000,305000.0000,305480.0000,133
BRK.A,2019-06-14,306695.0000,308800.0000,306320.0000,308206.0000,100
BRK.A,2019-06-13,307000.0000,308550.0000,306795.0000,307445.0000,154
BRK.A,2019-06-12,309250.0000,310085.5000,306465.0000,307195.5000,197
BRK.A,2019-06-11,313190.0000,313600.0000,309315.1900,310238.0000,163
BRK.A,2019-06-10,310460.0100,312500.0000,310280.0100,311524.0000,199
BRK.A,2019-06-07,309999.9000,310500.0000,308940.2400,309265.0000,253
BRK.A,2019-06-06,305800.0000,308565.9600,305200.0000,307900.0000,406
BRK.A,2019-06-05,305300.0000,306542.7500,303400.0000,306400.0000,162
BRK.A,2019-06-04,301790.0000,304000.0000,301500.0000,304000.0000,205
BRK.A,2019-06-03,297000.0000,299775.0000,296622.7500,299742.0000,271
BRK.A,2019-05-31,298000.0000,299339.0000,296800.0000,297060.0000,253
BRK.A,2019-05-30,300025.0000,301662.0000,300025.0000,300877.0000,188
BRK.A,2019-05-29,300100.0000,300809.9900,298070.0000,299860.0000,393
BRK.A,2019-05-28,304350.0000,304499.9900,301000.0000,301050.0100,265
BRK.A,2019-05-24,304540.0000,305000.0000,302850.0000,303000.0000,131
BRK.A,2019-05-23,303000.0000,304200.0000,300593.3900,304115.0000,420
BRK.A,2019-05-22,305234.0000,306355.0000,304188.0000,304300.0000,122
BRK.A,2019-05-21,306000.0000,307480.7600,305400.0000,306225.0000,164
BRK.A,2019-05-20,305100.0000,305975.0000,304138.0000,305362.0000,112
BRK.A,2019-05-17,305450.0000,309023.0900,305150.0000,306355.0000,134
BRK.A,2019-05-16,308000.0000,311000.0000,307690.0000,307936.0000,161
BRK.A,2019-05-15,306000.0000,307595.4300,303475.0000,305580.0000,234
BRK.A,2019-05-14,310100.0000,312080.9300,306666.0000,306850.0100,308
BRK.A,2019-05-13,309750.0000,311000.0000,308360.0000,308360.0000,494
BRK.A,2019-05-10,310850.0000,315910.0000,308601.0000,315500.0000,408
BRK.A,2019-05-09,313500.0000,314890.0000,308325.0000,314400.0000,415
BRK.A,2019-05-08,314899.9900,324000.0000,312500.0100,314750.0000,412
BRK.A,2019-05-07,316399.9000,317754.9800,312000.0000,315119.9900,657
BRK.A,2019-05-06,322100.0000,322250.0000,317390.0000,320000.0000,609
BRK.A,2019-05-03,326000.0000,328555.0000,325385.0000,327765.6100,247
BRK.A,2019-05-02,325000.0000,326557.3400,322860.7400,324214.0000,200
BRK.A,2019-05-01,325700.0000,328012.7400,324925.7200,325900.0000,272
BRK.A,2019-04-30,325000.0000,325614.9900,322294.3500,325080.0100,204
BRK.A,2019-04-29,322000.0000,325844.9300,322000.0000,324921.0000,396
BRK.A,2019-04-26,318505.0100,321493.8400,318420.0000,321000.0000,386
BRK.A,2019-04-25,314900.0000,319015.0000,314295.0000,318500.0000,261
BRK.A,2019-04-24,317025.0000,317702.8000,315560.5200,316000.0000,230
BRK.A,2019-04-23,313865.0000,317730.0000,313755.5800,317684.0000,153
BRK.A,2019-04-22,313800.0100,315309.9600,313460.0000,314100.0000,103
BRK.A,2019-04-18,316620.0000,317003.0000,314610.0000,315330.0000,91
BRK.A,2019-04-17,318000.0000,318519.0000,314694.0000,316040.0000,127
BRK.A,2019-04-16,315000.0000,317500.0000,315000.0000,317500.0000,140
BRK.A,2019-04-15,315000.0000,315345.0000,311570.0000,314500.0000,182
BRK.A,2019-04-12,311000.0000,317226.0100,311000.0000,314250.0000,214
BRK.A,2019-04-11,308074.0000,310500.0000,306899.0000,309875.0000,183
BRK.A,2019-04-10,307700.0000,307700.0000,305600.0000,307000.0000,180
BRK.A,2019-04-09,306820.0000,307380.0000,305600.0000,307380.0000,123
BRK.A,2019-04-08,307674.0000,308598.0000,306185.0000,307461.0000,128
BRK.A,2019-04-05,305495.0100,308375.0000,305495.0100,307776.0000,347
BRK.A,2019-04-04,305250.0000,307385.0000,305100.0000,306460.9500,266
BRK.A,2019-04-03,308000.0000,308240.0000,304600.0000,305750.0000,201
BRK.A,2019-04-02,307000.0000,307900.0000,305416.8600,306000.0000,248
BRK.A,2019-04-01,302800.0000,307930.0000,302800.0000,307800.0000,361
BRK.A,2019-03-29,302500.0000,302579.0000,300152.0000,301215.0000,460
BRK.A,2019-03-28,300049.7000,301249.9500,298400.0000,301249.9500,203
BRK.A,2019-03-27,300851.0000,301480.7400,297900.0000,299764.0000,259
BRK.A,2019-03-26,301425.0000,302018.3900,298500.0000,300961.0100,210
