stock_symbol,time_stamp,open,recent_high,recent_low,close,volume
SPY,2019-06-21,294.1300,295.5200,293.7600,294.0000,82978233
SPY,2019-06-20,296.0400,296.3093,293.1255,295.8600,116570017
SPY,2019-06-19,292.5500,293.6500,291.4700,293.0600,78674377
SPY,2019-06-18,291.3900,293.5700,290.9900,292.4000,85434823
SPY,2019-06-17,289.5200,290.2200,289.1800,289.3700,39205709
SPY,2019-06-14,289.2600,289.9300,288.4100,289.2600,52324716
SPY,2019-06-13,289.4000,289.9800,288.6200,289.5800,48945156
SPY,2019-06-12,288.6400,289.2600,287.8150,288.3900,47096312
SPY,2019-06-11,290.9900,291.4000,288.1805,288.9000,58641325
SPY,2019-06-10,289.3700,290.8200,288.8734,288.9700,60799053
SPY,2019-06-07,285.9300,288.8500,285.7400,287.6500,74272199
SPY,2019-06-06,283.2900,285.5500,282.5700,284.8000,69430381
SPY,2019-06-05,282.3300,282.9900,280.3200,282.9600,71169717
SPY,2019-06-04,277.1200,280.6800,276.6200,280.5300,77231889
SPY,2019-06-03,275.3100,276.5521,273.0900,274.5700,96427952
SPY,2019-05-31,276.2000,277.1200,275.2400,275.2700,86862782
SPY,2019-05-30,279.1100,280.0400,277.8050,279.0300,62523780
SPY,2019-05-29,278.9100,279.3600,276.7100,278.2700,104972927
SPY,2019-05-28,283.0900,284.1500,280.1300,280.1500,70029356
SPY,2019-05-24,283.7400,284.2000,282.0900,282.7800,55268095
SPY,2019-05-23,283.1600,283.2100,280.5700,282.1400,98733847
SPY,2019-05-22,285.4500,286.6900,285.1000,285.6300,49482472
SPY,2019-05-21,285.8300,286.9300,285.5500,286.5100,46847085
SPY,2019-05-20,284.0600,285.4300,283.1200,283.9500,62877610
SPY,2019-05-17,285.1400,288.6000,285.1207,285.8400,100353024
SPY,2019-05-16,285.8400,289.2100,285.7600,287.7000,76749643
SPY,2019-05-15,281.5900,285.7700,281.3600,285.0600,73956407
SPY,2019-05-14,281.9900,285.1000,281.8500,283.4000,77003230
SPY,2019-05-13,282.4200,283.4900,279.9300,280.8600,127290527
SPY,2019-05-10,285.6200,288.9400,282.3000,288.1000,112429293
SPY,2019-05-09,285.2300,287.3300,283.3000,286.6600,103471104
SPY,2019-05-08,287.5300,289.4300,286.8700,287.5300,91568287
SPY,2019-05-07,290.1500,290.8100,285.8100,287.9300,144729908
SPY,2019-05-06,289.2500,293.3100,288.9000,292.8200,107198069
SPY,2019-05-03,292.8200,294.3400,291.2998,294.0300,56543653
SPY,2019-05-02,291.6800,292.7000,289.5200,291.1800,65030170
SPY,2019-05-01,294.7200,294.9500,291.8000,291.8100,71671870
SPY,2019-04-30,293.4900,294.3400,291.9200,294.0200,81111733
SPY,2019-04-29,293.5100,294.4500,293.4100,293.8700,57197747
SPY,2019-04-26,292.1000,293.4900,291.2401,293.4100,50916423
SPY,2019-04-25,292.1200,292.7800,290.7300,292.0500,57770862
SPY,2019-04-24,292.7900,293.1600,292.0700,292.2300,50392914
SPY,2019-04-23,290.6800,293.1400,290.4200,292.8800,52246633
SPY,2019-04-22,289.1700,290.4350,289.0700,290.2700,40160140
SPY,2019-04-18,290.1000,290.3200,288.6600,290.0200,68708513
SPY,2019-04-17,291.4000,291.4250,288.9900,289.4500,58268295
SPY,2019-04-16,290.9500,291.0100,289.5000,290.1600,52153197
SPY,2019-04-15,290.2400,290.3500,289.0750,289.9700,49596685
SPY,2019-04-12,290.0000,290.4700,288.2610,290.1600,69727782
SPY,2019-04-11,288.8300,288.8400,287.5780,288.2100,55093100
SPY,2019-04-10,287.7700,288.3899,287.3100,288.2900,52601499
SPY,2019-04-09,287.7200,288.0800,286.7000,287.3100,66142316
SPY,2019-04-08,288.1000,288.9100,287.3700,288.7900,53566335
SPY,2019-04-05,287.9200,288.6300,287.6000,288.5700,58621729
SPY,2019-04-04,286.7800,287.4590,286.0100,287.1800,48997505
SPY,2019-04-03,287.3200,287.7600,285.7500,286.4200,68243202
SPY,2019-04-02,286.0400,286.2300,285.0900,285.9700,40070351
SPY,2019-04-01,284.7000,286.1600,284.4000,285.8300,77617945
SPY,2019-03-29,282.3900,282.8400,281.1400,282.4800,82186806
SPY,2019-03-28,280.3500,281.2100,279.0700,280.7100,56238545
SPY,2019-03-27,281.1100,281.7600,277.9300,279.6500,72224722
SPY,2019-03-26,280.9900,282.1800,279.5600,281.1200,68125920
SPY,2019-03-25,278.8700,280.1853,277.6400,279.0400,85575197
SPY,2019-03-22,283.2200,283.8034,279.1800,279.2500,122659286
SPY,2019-03-21,280.6400,285.1800,280.5900,284.7300,79550375
SPY,2019-03-20,282.1600,283.5000,280.3200,281.5500,84609210
SPY,2019-03-19,283.5100,284.3600,281.4100,282.4000,90268121
SPY,2019-03-18,281.5500,282.6600,281.3000,282.3300,62199806
SPY,2019-03-15,280.5400,282.2100,280.3300,281.3100,81308979
SPY,2019-03-14,281.3700,281.8400,280.6662,281.1600,67518366
SPY,2019-03-13,280.4800,282.3800,280.3000,281.3400,80639153
SPY,2019-03-12,279.0600,280.0700,278.8500,279.4900,79667530
SPY,2019-03-11,275.2600,278.6200,275.2300,278.4400,65098897
SPY,2019-03-08,272.9400,274.6500,272.4200,274.4600,85795799
SPY,2019-03-07,276.8300,276.9900,274.0700,275.0100,94885089
SPY,2019-03-06,279.1500,279.1600,276.9700,277.3300,75039771
SPY,2019-03-05,279.5400,279.7600,278.4100,279.0200,59114559
SPY,2019-03-04,281.6000,281.8700,276.8400,279.4000,106494637
SPY,2019-03-01,280.4400,280.8800,278.8200,280.4200,78880548
SPY,2019-02-28,278.9600,279.4500,278.3200,278.6800,69268293
SPY,2019-02-27,278.5200,279.5900,277.4800,279.2000,56921570
SPY,2019-02-26,279.1300,280.3000,278.9000,279.3200,56844101
SPY,2019-02-25,280.7300,281.3100,279.4300,279.5200,69030699
SPY,2019-02-22,278.1100,279.3600,277.4029,279.1400,78114616
SPY,2019-02-21,277.7000,278.1000,276.3450,277.4200,64214727
SPY,2019-02-20,277.8100,278.9200,277.2500,278.4100,76610767
SPY,2019-02-19,276.4813,278.5800,276.4700,277.8500,59120804
SPY,2019-02-15,276.3600,277.4100,276.1300,277.3700,97088659
SPY,2019-02-14,273.7800,275.6400,272.8700,274.3800,83234396
SPY,2019-02-13,275.0300,275.9300,274.5600,274.9900,65277204
SPY,2019-02-12,272.4200,274.5200,272.3400,274.1000,72270221
SPY,2019-02-11,271.2000,271.4900,270.0300,270.6200,68021423
SPY,2019-02-08,268.7500,270.5800,267.8300,270.4700,75788861
SPY,2019-02-07,270.9400,271.5500,268.2900,270.1400,95481961
SPY,2019-02-06,272.7900,273.3400,271.9200,272.7400,58347791
SPY,2019-02-05,272.4400,273.4400,271.8800,273.1000,79552774
SPY,2019-02-04,270.1100,272.0300,269.3600,271.9600,60744844
SPY,2019-02-01,270.1500,271.2000,269.1800,270.0600,85782524
SPY,2019-01-31,267.5100,270.4700,267.2700,269.9300,104012073
SPY,2019-01-30,265.1000,268.5200,264.2500,267.5800,92473671
