stock_symbol,time_stamp,open,recent_high,recent_low,close,volume
uber,2019-06-18,44.3000,44.8900,43.7500,43.8600,7289983
uber,2019-06-17,43.2800,44.0790,42.9300,43.7800,6557589
uber,2019-06-14,44.7500,44.8000,43.1100,43.2300,7902223
uber,2019-06-13,43.0500,44.3500,42.8000,44.3100,10178935
uber,2019-06-12,42.5200,42.6500,41.7100,42.1700,5965250
uber,2019-06-11,43.2200,43.6500,41.8000,42.4500,9095044
uber,2019-06-10,44.0200,44.5900,42.5300,42.6100,11618701
uber,2019-06-07,44.9200,45.6700,44.1300,44.1600,12654670
uber,2019-06-06,45.0000,45.7500,44.2800,44.9200,16403691
uber,2019-06-05,42.8700,45.6600,42.5000,45.0000,28609604
uber,2019-06-04,42.5600,42.8800,40.7000,42.7500,23432141
uber,2019-06-03,40.7435,41.8500,40.2400,41.2500,16605261
uber,2019-05-31,41.1500,41.5700,39.4100,40.4100,23209848
uber,2019-05-30,40.0700,40.3800,39.5000,39.8000,26451864
uber,2019-05-29,40.5200,40.7100,39.1473,39.9400,14060447
uber,2019-05-28,41.7000,41.8000,40.6000,40.9500,13391605
uber,2019-05-24,41.2800,41.5100,40.5000,41.5100,8786751
uber,2019-05-23,40.8000,41.0900,40.0200,40.4700,11119870
uber,2019-05-22,41.0500,41.2800,40.5000,41.2500,9089469
uber,2019-05-21,42.0000,42.2400,41.2500,41.5000,10802851
uber,2019-05-20,41.1900,41.6800,39.4600,41.5900,29222330
uber,2019-05-17,41.9800,43.2900,41.2700,41.9100,20225687
uber,2019-05-16,41.4800,44.0600,41.2500,43.0000,38115524
uber,2019-05-15,39.3700,41.8800,38.9500,41.2900,36086065
uber,2019-05-14,38.3100,39.9600,36.8500,39.9600,46661147
uber,2019-05-13,38.7900,39.2400,36.0800,37.1000,79442420
uber,2019-05-10,42.0000,45.0000,41.0600,41.5700,186322536
